ligand_id,component_id,status,source_smiles,canonical_smiles,smiles_source,source_locator,source_count
2984,3XI,resolved,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2CCCCC2,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)C1CCCCC1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
540,3ZM,resolved,Cc1c(sc(n1)[C@H]([C@H]2CCCCN2)NC(=O)c3ccc([nH]3)c4ccc(cc4)Cl)CO,Cc1nc([C@@H](NC(=O)c2ccc(-c3ccc(Cl)cc3)[nH]2)[C@H]2CCCCN2)sc1CO,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,6
2985,40I,resolved,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)c2ccco2,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccco1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
1075,434,resolved,Cc1ccc2c(c1)C(=O)[C@]3(C2=O)[C@@H]([C@@H]([C@@H](O3)c4ccc(c(c4)Cl)Cl)C(=O)Nc5ccc(cc5)c6csnn6)C(=O)O,Cc1ccc2c(c1)C(=O)[C@]1(O[C@@H](c3ccc(Cl)c(Cl)c3)[C@@H](C(=O)Nc3ccc(-c4csnn4)cc3)[C@H]1C(=O)O)C2=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
547,43Y,resolved,CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC,CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,6
571,44E,resolved,CCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCC,CCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCC,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,8
710,45F,resolved,C#CCO[C@H]1C[C@H](NC1)C(=O)O,C#CCO[C@@H]1CN[C@H](C(=O)O)C1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
711,45W,resolved,C#CO[C@H]1C[C@@H](NC1)C(=O)O,C#CO[C@@H]1CN[C@@H](C(=O)O)C1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
146,478,resolved,CC(C)C[N@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,50
242,494,resolved,c1cc(c(cc1Cl)OCCN2C=CC(=O)NC2=O)Oc3cc(cc(c3)Cl)/C=C/C#N,N#C/C=C/c1cc(Cl)cc(Oc2ccc(Cl)cc2OCCn2ccc(=O)[nH]c2=O)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
1112,4AC,resolved,CC(=O)NC1=NC(=O)N(C=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,CC(=O)Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
856,4AH,resolved,CC(C)(C)[C@@H](C(=O)N[N@](Cc1ccc(cc1)c2cccnc2)C[C@@](Cc3ccccc3)(C(=O)N[C@H]4c5ccccc5C[C@H]4O)O)NC(=O)OC,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2cccnc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1500,4AP,resolved,c1c[nH+]ccc1N,Nc1cc[nH+]cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,6
276,4BI,resolved,Cc1c(c(c2ccccc2n1)c3ccc(cc3)Cl)[C@@H](C(=O)O)OC(C)(C)C,Cc1nc2ccccc2c(-c2ccc(Cl)cc2)c1[C@H](OC(C)(C)C)C(=O)O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1324,4BL,resolved,Cc1ccc2cc([nH]c2c1)C(=O)O,Cc1ccc2cc(C(=O)O)[nH]c2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
1327,4BX,resolved,c1ccc2c(c1)[nH]c(n2)CCC(=O)O,O=C(O)CCc1nc2ccccc2[nH]1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1412,4BY,resolved,Cc1ccc2c(c1)cc([nH]2)C(=O)O,Cc1ccc2[nH]c(C(=O)O)cc2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
696,4D2,resolved,CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3cccnc3,CC(C)C[C@H](CNC(=O)c1cccnc1)Cc1ccc2c(c1C(=O)O)OCO2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
1336,4FL,resolved,c1cnccc1c2[nH]ccn2,c1cc(-c2ncc[nH]2)ccn1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1393,4FS,resolved,c1ccc2c(c1)cc(cn2)N,Nc1cnc2ccccc2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2550,4I9,resolved,Cc1c(cncc1Cl)OC(=O)c2cccc3c2cc[nH]3,Cc1c(Cl)cncc1OC(=O)c1cccc2[nH]ccc12,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
2549,4IJ,resolved,c1cc(c2c(c1)NCC2)C(=O)Oc3cc(cnc3)Cl,O=C(Oc1cncc(Cl)c1)c1cccc2c1CCN2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
