component_id,source_smiles,source_name,canonical_smiles,chemical_status
A1AL7,CC(C)[C@@H](c1ccc2c(c1)OCCO2)Nc3c4cc([nH]c4ncn3)c5cnn(c5)CC(=O)N(C)C,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,resolved
A1ALQ,CC(C)(C)[C@@H](c1ccc2c(n1)OCCO2)Nc3c4cc([nH]c4ncn3)c5cnn(c5C#N)C,Components-smiles-stereo-oe.smi,Cn1ncc(-c2cc3c(N[C@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,resolved
A1ALR,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)NCC2)Nc3c4cc([nH]c4ncn3)c5cnn(c5)C,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)NCC2,resolved
A1ALS,CC(C)[C@@H](C1=SCCC1)Nc2c3cc[nH]c3ncn2,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]ccc12)C1=[SH]CCC1,resolved
A1ALY,CC(C)[C@H](C(F)F)Nc1c2cc[nH]c2ncn1,Components-smiles-stereo-oe.smi,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)C(F)F,resolved
A1AMD,CC(C)[C@@H](c1ccc2c(n1)OCCO2)Nc3c4cc([nH]c4ncn3)c5cnn(c5C#N)C,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,resolved
A1AME,CCNC(=O)c1cc2c([nH]1)ncnc2N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C,Components-smiles-stereo-oe.smi,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,resolved
A1AMF,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)CCC2)Nc3c4c(c[nH]c4ncn3)C(=O)NC,Components-smiles-stereo-oe.smi,CNC(=O)c1c[nH]c2ncnc(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,resolved
A1AMG,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)CCC2)Nc3c4c(c[nH]c4ncn3)C(=O)NC5CC5,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,resolved
A1AMI,CC(C)[C@@H](c1ccc2c(c1)[S@@](=O)CCO2)Nc3c4c(ncn3)NCC4,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2c1CCN2)c1ccc2c(c1)[S@@](=O)CCO2,resolved
A1AMJ,CCNC(=O)c1cc2c([nH]1)ncnc2N[C@H](c3ccc4c(c3)C(=O)N(C=N4)C)C(C)C,Components-smiles-stereo-oe.smi,CCNC(=O)c1cc2c(N[C@H](c3ccc4ncn(C)c(=O)c4c3)C(C)C)ncnc2[nH]1,resolved
A1AMK,CCNC(=O)c1cc2c([nH]1)ncnc2N[C@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C,Components-smiles-stereo-oe.smi,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,resolved
A1AML,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)CCO2)Nc3c4cc[nH]c4ncn3,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCO2,resolved
A1AMP,CCNC(=O)c1cc2c([nH]1)ncnc2N[C@H](c3ccc4c(c3)S(=O)(=O)NCC4)C(C)C,Components-smiles-stereo-oe.smi,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)NCC4)C(C)C)ncnc2[nH]1,resolved
A1AMQ,CCNC(=O)c1cc2c([nH]1)ncnc2N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C5CC5,Components-smiles-stereo-oe.smi,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C3CC3)ncnc2[nH]1,resolved
A1AMR,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)CCC2)Nc3c4cc([nH]c4ncn3)c5cnn(c5)CC(=O)N,Components-smiles-stereo-oe.smi,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,resolved
