Ligand	Synonyms
WBV	Pirmitegravir
X2J	
X2S	
X2V	
X2G	
K7F	
XFS	
XUY	
XUM	
XUP	
XUS	
XUV	
XVP	
XVM	
XVJ	
XVS	
XVY	
XW4	
XVV	
YBA	
YB7	
YAV	
YBD	
1S0	
XRF	L-dTTP
YTG	
YWM	
YWP	
YTY	
YWS	
YUM	
YUP	
YUJ	
YUD	
YUA	
1I4	
1I1	
1IA	
1IH	
1IK	
1IO	
1KK	
2NU	
3IR	((1R,2R)-2-Phenyl-N-(1,3-thiazol-2-yl) cyclopropanecarboxamide
4OI	
2I4	Bevirimat
61F	
6I2	
9I4	
BTB	BIS-TRIS BUFFER
9QI	
9PJ	
9VI	
9WW	
9UV	
9WI	
9W3	
GE7	
GEI	
VM5	
I6Q	
I6M	
G8R	
G77	
KZD	
LE8	
O20	
INU	
8LT	
8Z3	
E58	
E6I	
E81	
E9B	
ECW	
EGI	
RWR	
U5L	
W2Q	
U60	
U5S	
QD6	
R5K	
V06	
4JH	
W15	
FIC	
0IF	
U4D	
JBQ	
U43	
BML	
X7B	
X7H	
XBQ	
XRB	
XU9	
Y05	
7IT	
Y1O	
Y1X	
Y26	
Y2K	
Y2E	
Y2O	
Y1T	
Y9R	
Y9N	
1HC	
F	
YZI	
Z3F	
Z1I	
Z1Z	
Z2O	
Z6F	
Z7N	
ZNF	
LOV	
V96	
V9O	
VA9	
WVZ	
AJ2	
XXL	
WWR	
WVU	
3IP	
WZR	
S0I	
X0L	
X0H	
WZX	
WZL	
WZ9	
J6U	
K3L	
VQ0	
VQK	
VTN	
VWU	
VTS	
VTV	
VU8	
VVE	
VVN	
VR9	
VRF	
VRQ	
VW2	
VWK	
VWB	
VOI	
VOU	
VP2	
VPB	
VO8	
XTE	[[(1~{S},2~{E},3~{S},5~{S})-3-(2-azanyl-6-oxidanylidene-1~{H}-purin-9-yl)-1-cyano-2-(fluoranylmethylidene)-5-oxidanyl-cyclopentyl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate
0E9	A-74704
IDS	O2-SULFO-GLUCURONIC ACID; 2-O-sulfo-alpha-L-iduronic acid; 2-O-sulfo-L-iduronic acid; 2-O-sulfo-iduronic acid
JHM	2-deoxy-6-O-sulfo-alpha-D-arabino-hexopyranose; 2-deoxy-6-O-sulfo-alpha-D-glucose; 2-deoxy-6-O-sulfo-D-glucose; 2-deoxy-6-O-sulfo-glucose
ALQ	
434	BILH 434
SDY	beta-D-talose; D-talose; talose; beta-D-talopyranosose
FSC	
JFM	
HWH	
RZG	
RZJ	
RZS	
K0G	
GWS	
SZY	
T0J	
O0S	
T0S	
T0V	
LPZ	
JGP	
T0Y	
T1J	
JJG	
T1M	
6SU	
LWA	
AWP	
T1S	
T1V	
T1Y	
T2G	
T2J	
T2V	
T2Y	
T3G	
T3J	
T3V	
T47	
T4D	
T4J	
T4M	
T4V	
T4Y	
T54	
T5D	
T5G	
HVB	
T5V	
T5Y	
HV2	
NTG	
T67	
SFY	Sulfapyridine
S7D	
JGY	
K3S	
K1Y	
T6J	
JGG	
T6M	
T6V	
T6Y	
T71	
T7A	
T7D	
T7G	
T7J	
T7P	
T7S	
T7V	
T7Y	
T81	
T84	
T8A	
T8D	
T8J	
T8M	
T8P	
T8S	
T8V	
T8Y	
T9J	
T9M	
T9P	
NZD	
U0M	
U0P	
U0S	
U0V	
U0Y	
U1D	
U1A	
U1G	
U1M	
U1V	
K1G	
S7V	
UHS	
UGD	
UGG	
UGM	
UGP	
UGS	
UH1	
UH4	
UGV	
UH7	
UHA	
UHG	
UHV	
UHY	
UJ1	
UHM	
UJ4	
USD	
USA	
US7	
UPD	
UPJ	
VEG	
VEJ	
VEM	
VEP	
VEV	
VEY	
LJA	
VVD	
VVG	
UR7	
VVJ	
VVM	
VVY	
VVP	
NY7	
VW1	
K2P	
VW4	
NYV	
H04	
VW7	
NZG	
UQS	
VWA	
UVA	
VWD	
VWG	
UVJ	
JG4	
VWJ	
S9S	
K34	
VWM	
S7G	
RY4	
UXG	
S7J	
PK4	
NUA	
HR5	
N0E	
GQJ	
EJQ	
JHJ	
VWV	
VWY	
RYM	
NX7	
MUK	
VX4	
STV	
JOV	
O2A	
VXD	
VXG	
W4Y	
H35	
W4V	
W4S	
W5S	
1LQ	
W5P	
W5M	
W5J	
W5G	
W5D	
W5A	
W57	
W51	
4SO	
51X	
TYZ	
LSA	SACCHARIN
XIY	1H-BENZIMIDAZOL-2-YLMETHANOL
NC3	4-(3-CYCLOHEXYLURIEDO)-ETHANOIC ACID
5HN	5-Hydroxynicotinic Acid
OHB	2-hydroxybenzamide
4MB	
6FZ	
YTX	
3R6	
ZZA	
4BL	
3A9	
5OF	
4BX	
07L	7-hydroxycoumarin
05R	
GVH	
54G	
Q6T	
3XH	N-[(3-hydroxyphenyl)carbonyl]glycine
EVE	
MHW	
4FL	
ISN	
3HP	
3BZ	
6U6	
PHB	
4J8	
PZA	Pyrazinamide
AQO	
4PN	
AOT	
4JO	
SHA	
0LO	
NMI	
PF0	
OHP	
6OT	
HBD	
FHB	
2CL	
DFA	
06Y	
8H8	
6V9	
BXW	
2UP	
PYD	
1SQ	1-AMINO-ISOQUINOLINE
4SV	
3EU	
NCA	
2D0	
BHA	
54T	
NOA	
KNL	
4YS	
2SX	
5ZE	
52F	
EXB	
W6A	
04R	
W6D	
HSM	
APG	
W6G	
W6J	
W6M	
W6P	
XAN	
W6S	
W6V	
TFA	
W7S	
MYI	5-methoxy-indole acetate
4FS	
JG8	
0HN	benzo[d][1,3]dioxole-5-carboxylic acid
JNZ	
8EJ	
EKZ	4-tert-Butylcatechol (CAS 98-29-3)
HQD	
7PD	isoxanthopterin
W7V	
W7Y	
W8A	
W8D	
W8J	
Q3C	
CLW	5-CHLORO-2-BENZOXAZOLONE
4JQ	
2AK	
BVF	2-AMINO-4-PICOLINE
ANN	P-ANISIC ACID
4BY	
LZ1	
6P3	
WB1	
WOY	
WPS	
WPV	
WPY	
WQ1	
WQ4	
WQ7	
DE5	
WQA	
WQG	
WQJ	
WQM	
WQV	
WQY	
WRD	
WRJ	
WRM	
L46	
WSM	
WRV	
WRY	
WS4	
WSG	
WSJ	
VZM	
LUY	
VZP	
VZS	
VZY	
GWY	
NXS	
W04	
W0A	
K41	
GWV	
W0D	
W0G	
GWP	
W0J	
W0M	
W0P	
W0S	
W0V	
K2G	
GOV	
B1A	
7ZC	
NZ1	
W0Y	
W17	
W1A	
W1D	
JFP	
WSY	
W1J	
JHS	
W1M	
W1P	
W1S	
JH4	
S2S	
W1V	
W1Y	
W21	
W2A	
W24	
W27	
W2G	
W2J	
W2M	
W2S	
W2V	
W2Y	
W34	
HHQ	
HGQ	
HH8	
UUJ	
W3A	
W3D	
HYN	Hydantoin
BAQ	
HRZ	
3TR	AMITROLE
4AP	
W3G	
W3J	
2OP	
W3M	
W3P	
W3S	
W3V	
W3Y	
W41	
W44	
WUG	
WUJ	
WUM	
WUS	
WUV	
WUY	
K3A	
ZQA	
O3G	
WL7	
GWG	
ZQD	
WJD	
EJW	
ZQG	
ZQJ	
ZQM	
LF6	
O2M	
NVD	
B0V	
LFO	
LGR	
LHR	
WNV	
60P	
JGD	
LJR	
LJK	
LJ6	
JGA	
NZJ	
LLU	
LL0	
LKU	
LKL	
LK6	
WN1	
JJM	
UWY	
ELQ	
LO6	
SZE	4-(3-fluoropyridin-2-yl)-1-methylpiperazin-2-one; 126776361
LNS	
UX1	
LMW	
LM6	
LQP	
LQI	
WH1	
LQ3	
GT4	
AWD	
S5J	
K1A	
LPU	
WKA	
LRR	
LRF	
WKS	
I8D	
K1S	
LR9	
LQV	
O3R	
O46	
O4F	
WYY	
WVG	
RWQ	
RVO	
WVM	
WVY	
WW1	
WW4	
RYI	
WWJ	
WWP	
WWS	
S1O	
WX4	
RZ9	
WX7	
WXD	
WXA	
WXG	
WXJ	
WXS	
WXY	
WY7	
WYA	
S3E	
WYG	
WYJ	
RWL	
RXX	
RVS	
RXI	
RWC	
RY6	
RYC	
S09	
S0T	
QLF	
QLU	
QYJ	
QRU	
S1F	
RYQ	
RZI	
RZR	
S1X	
S2R	
S3R	
S4F	
RW5	
S4O	
S50	
S5F	
S5U	
S63	
S6C	
S6N	
S6U	
S7F	
S7O	
S5O	
QIW	
QJ0	
QJC	
QJG	
QJO	
QJU	
QK6	
QKC	
QKX	
QKL	
QL6	
QM6	
QMF	
QN0	
QMO	
QNV	
QNF	
QOF	
QO3	
QOR	
QP9	
QPX	
QPL	
QR0	
QQ9	
QQI	
QQR	
QR6	
QRC	
QRI	
QS6	
QSL	
QT0	
QT6	
QTF	
QTO	
QU3	
QUC	
QVC	
QV1	
QUR	
QVL	
