Ligand,Synonyms
1RZ,"Lamivudine-5'-triphosphate; 3TC Triphosphate; [[(2R,5S)-5-(4-azanyl-2-oxidanylidene-pyrimidin-1-yl)-1,3-oxathiolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate"
DCP,No synonyms data available
EJ9,No synonyms data available
940,No synonyms data available
RY,No synonyms data available
JDY,No synonyms data available
JDV,No synonyms data available
A2G,N-acetyl-alpha-D-galactosamine; 2-acetamido-2-deoxy-alpha-D-galactose; 2-acetamido-2-deoxy-D-galactose; 2-acetamido-2-deoxy-galactose; N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE
JYJ,No synonyms data available
JYV,No synonyms data available
JYY,No synonyms data available
JYS,No synonyms data available
KJJ,No synonyms data available
L3D,No synonyms data available
44E,No synonyms data available
IY1,Indopy-1
M9A,No synonyms data available
MJD,No synonyms data available
MVY,No synonyms data available
MW4,No synonyms data available
MWD,No synonyms data available
MWA,No synonyms data available
MXJ,No synonyms data available
N07,No synonyms data available
LMT,No synonyms data available
1RY,No synonyms data available
N8G,No synonyms data available
NJM,No synonyms data available
NJA,No synonyms data available
NJ4,No synonyms data available
NEJ,No synonyms data available
NE7,No synonyms data available
NF4,No synonyms data available
NFJ,No synonyms data available
NF7,No synonyms data available
NG4,No synonyms data available
NJG,No synonyms data available
NJ7,No synonyms data available
NJ1,No synonyms data available
NJJ,No synonyms data available
NKA,No synonyms data available
NJY,No synonyms data available
NQ4,No synonyms data available
DCT,No synonyms data available
O51,No synonyms data available
OR1,No synonyms data available
OQY,No synonyms data available
OPJ,No synonyms data available
OP7,No synonyms data available
ORV,No synonyms data available
OQG,No synonyms data available
OO4,No synonyms data available
OQD,No synonyms data available
OQA,No synonyms data available
OQV,No synonyms data available
OQP,No synonyms data available
OQ7,No synonyms data available
P3V,No synonyms data available
KLQ,No synonyms data available
OZ1,No synonyms data available
XXJ,No synonyms data available
5MY,No synonyms data available
PSF,PHOSPHATIDYLSERINE
Q1D,No synonyms data available
B4R,No synonyms data available
DLU,Dolutegravir
QAG,No synonyms data available
QCG,No synonyms data available
QJY,No synonyms data available
QK1,No synonyms data available
QNG,Lenacapavir
QUW,No synonyms data available
QOJ,No synonyms data available
G6R,No synonyms data available
QZV,No synonyms data available
R0J,No synonyms data available
R0P,No synonyms data available
R0S,No synonyms data available
R2A,No synonyms data available
R2D,No synonyms data available
T1R,No synonyms data available
T2R,No synonyms data available
R7J,No synonyms data available
ARG,No synonyms data available
RQG,No synonyms data available
S0Y,No synonyms data available
SJY,No synonyms data available
TK7,No synonyms data available
TQM,No synonyms data available
TXM,No synonyms data available
D4M,"2',3'-DIDEOXY-2',3-DIDEHYDROTHYMIDINE 5'-MONOPHOSPHATE; 2',3'-DEHYDRO-2',3'-DEOXY-THYMIDINE 5'-MONOPHOSPHATE"
DGP,No synonyms data available
7AX,JLJ649
UMY,No synonyms data available
UNS,No synonyms data available
UO4,No synonyms data available
UMV,No synonyms data available
UOV,No synonyms data available
REK,(2~{R})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]butanedioic acid
RE5,(2~{S})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]pentanedioic acid
RFE,(2~{S})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]-4-methylsulfanyl-butanoic acid
GZ9,No synonyms data available
WBV,Pirmitegravir
X2J,No synonyms data available
X2S,No synonyms data available
X2V,No synonyms data available
X2G,No synonyms data available
K7F,No synonyms data available
XFS,No synonyms data available
XUY,No synonyms data available
XUM,No synonyms data available
XUP,No synonyms data available
XUS,No synonyms data available
XUV,No synonyms data available
XVP,No synonyms data available
XVM,No synonyms data available
XVJ,No synonyms data available
XVS,No synonyms data available
XVY,No synonyms data available
XW4,No synonyms data available
XVV,No synonyms data available
YBA,No synonyms data available
YB7,No synonyms data available
YAV,No synonyms data available
YBD,No synonyms data available
1S0,No synonyms data available
XRF,L-dTTP
YTG,No synonyms data available
YWM,No synonyms data available
YWP,No synonyms data available
YTY,No synonyms data available
YWS,No synonyms data available
YUM,No synonyms data available
YUP,No synonyms data available
YUJ,No synonyms data available
YUD,No synonyms data available
YUA,No synonyms data available
1I4,No synonyms data available
1I1,No synonyms data available
1IA,No synonyms data available
1IH,No synonyms data available
1IK,No synonyms data available
1IO,No synonyms data available
1KK,No synonyms data available
2NU,No synonyms data available
3IR,"((1R,2R)-2-Phenyl-N-(1,3-thiazol-2-yl) cyclopropanecarboxamide"
4OI,No synonyms data available
2I4,Bevirimat
61F,No synonyms data available
6I2,No synonyms data available
9I4,No synonyms data available
BTB,BIS-TRIS BUFFER
9QI,No synonyms data available
9PJ,No synonyms data available
9VI,No synonyms data available
9WW,No synonyms data available
9UV,No synonyms data available
9WI,No synonyms data available
9W3,No synonyms data available
GE7,No synonyms data available
GEI,No synonyms data available
VM5,No synonyms data available
I6Q,No synonyms data available
I6M,No synonyms data available
G8R,No synonyms data available
G77,No synonyms data available
KZD,No synonyms data available
LE8,No synonyms data available
O20,No synonyms data available
INU,No synonyms data available
8LT,No synonyms data available
8Z3,No synonyms data available
E58,No synonyms data available
E6I,No synonyms data available
E81,No synonyms data available
E9B,No synonyms data available
ECW,No synonyms data available
EGI,No synonyms data available
RWR,No synonyms data available
U5L,No synonyms data available
W2Q,No synonyms data available
U60,No synonyms data available
U5S,No synonyms data available
QD6,No synonyms data available
R5K,No synonyms data available
V06,No synonyms data available
4JH,No synonyms data available
W15,No synonyms data available
FIC,No synonyms data available
0IF,No synonyms data available
U4D,No synonyms data available
JBQ,No synonyms data available
U43,No synonyms data available
BML,No synonyms data available
X7B,No synonyms data available
X7H,No synonyms data available
XBQ,No synonyms data available
XRB,No synonyms data available
XU9,No synonyms data available
Y05,No synonyms data available
7IT,No synonyms data available
Y1O,No synonyms data available
Y1X,No synonyms data available
Y26,No synonyms data available
Y2K,No synonyms data available
Y2E,No synonyms data available
Y2O,No synonyms data available
Y1T,No synonyms data available
Y9R,No synonyms data available
Y9N,No synonyms data available
1HC,No synonyms data available
F,No synonyms data available
YZI,No synonyms data available
Z3F,No synonyms data available
Z1I,No synonyms data available
Z1Z,No synonyms data available
Z2O,No synonyms data available
Z6F,No synonyms data available
Z7N,No synonyms data available
ZNF,No synonyms data available
LOV,No synonyms data available
V96,No synonyms data available
V9O,No synonyms data available
VA9,No synonyms data available
WVZ,No synonyms data available
AJ2,No synonyms data available
XXL,No synonyms data available
WWR,No synonyms data available
WVU,No synonyms data available
3IP,No synonyms data available
WZR,No synonyms data available
S0I,No synonyms data available
X0L,No synonyms data available
X0H,No synonyms data available
WZX,No synonyms data available
WZL,No synonyms data available
WZ9,No synonyms data available
J6U,No synonyms data available
K3L,No synonyms data available
VQ0,No synonyms data available
VQK,No synonyms data available
VTN,No synonyms data available
VWU,No synonyms data available
VTS,No synonyms data available
VTV,No synonyms data available
