entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
3DRP,1,C,R8E,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,28,0.965517,pending,Stage 2I QC-controlled mapping deferral
3DRR,1,C,R8E,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,28,0.965517,pending,Stage 2I QC-controlled mapping deferral
3DRS,1,C,R8D,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
3DYA,1,C,PZL,A,562,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
3E01,1,C,PZ2,A,562,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,27,27,26,0.962963,pending,Stage 2I QC-controlled mapping deferral
3FFI,1,C,3OB,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,33,33,32,0.969697,pending,Stage 2I QC-controlled mapping deferral
3FSM,1,B,2NC,A,204,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3HAU,1,C,2NC,A,0,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3HAW,1,C,2NC,B,0,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3HBO,1,C,2NC,A,0,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3HDK,1,C,2NC,B,0,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3HZC,1,B,2NC,A,301,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3I2L,1,C,2NC,B,100,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3I6O,1,Y,GR6,B,301,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,44,44,24,0.545455,pending,Stage 2I QC-controlled mapping deferral
3IA9,1,C,2NC,A,100,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3IAW,1,B,2NC,A,204,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3IRX,1,C,UDR,A,556,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,36,36,26,0.722222,pending,Stage 2I QC-controlled mapping deferral
